Year,Measure,measureSubcategory,Demographic,DemographicBreakdown,OrganisationBreakdown,Datasource,OrgID,OrgName,MHSDS_Count,Total_Count,CrudeRate
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,All prov,All providers,11703,11703,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,*,*,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,95,95,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,R1C,SOLENT NHS TRUST,20,20,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,R1F,ISLE OF WIGHT NHS TRUST,20,20,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,330,330,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,30,30,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,*,*,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,10,10,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,250,250,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RH5,SOMERSET NHS FOUNDATION TRUST,45,45,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,490,490,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,90,90,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RKL,WEST LONDON NHS TRUST,570,570,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,70,70,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,260,260,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,295,295,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,95,95,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,95,95,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RPG,OXLEAS NHS FOUNDATION TRUST,220,220,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,265,265,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,180,180,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",95,95,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,115,115,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RT2,PENNINE CARE NHS FOUNDATION TRUST,195,195,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,180,180,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10,10,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,105,105,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,*,*,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,450,450,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,495,495,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,120,120,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,345,345,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,180,180,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RW4,MERSEY CARE NHS FOUNDATION TRUST,680,680,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,*,*,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RWK,EAST LONDON NHS FOUNDATION TRUST,600,600,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,230,230,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RWV,DEVON PARTNERSHIP NHS TRUST,120,120,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,90,90,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,425,425,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",480,480,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",540,540,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,200,200,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,110,110,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,290,290,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,120,120,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,545,545,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,475,475,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,75,75,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,265,265,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,*,*,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,*,*,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,170,170,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,115,115,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,TAF,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,200,200,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,120,120,NULL
2021/22,People detained in hospital on 31st March,All,All,All,NHS TRUST,MHSDS,TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,150,150,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,All submissions,MHSDS,All prov,All providers,4867,4867,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,8CM63,ST MAGNUS HOSPITAL,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,8K919,ST MARTHA'S,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,AHL,INMIND HEALTHCARE - HEAD OFFICE,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,AHN,EQUILIBRIUM HEALTHCARE,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,ATM01,NEWBRIDGE CARE SYSTEMS,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,ATM02,SCHOEN CLINIC YORK,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,All prov,All providers,42,42,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,DE8,ELYSIUM HEALTHCARE,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,DWW,ACTIVE PATHWAYS,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NFJ,ST MATTHEWS HEALTHCARE,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NL0,JOHN MUNROE HOSPITAL,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NMJ,CYGNET HEALTH CARE LIMITED,5,5,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NMQ,MAKING SPACE,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NMV,PARTNERSHIPS IN CARE LTD,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NQL,NAVIGO HEALTH AND SOCIAL CARE CIC,15,15,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NR5,LIVEWELL SOUTHWEST,10,10,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NRC,RIVERDALE GRANGE LIMITED,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NTN,PRIORY GROUP LIMITED,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NV2,THE HUNTERCOMBE GROUP,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,INDEPENDENT HEALTH PROVIDER,MHSDS,NYA,ST ANDREW'S HEALTHCARE,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,All prov,All providers,4901,4901,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,15,15,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,R1C,SOLENT NHS TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,R1F,ISLE OF WIGHT NHS TRUST,5,5,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,55,55,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,275,275,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,ECDS,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,130,130,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RH5,SOMERSET NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,125,125,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,40,40,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RKL,WEST LONDON NHS TRUST,205,205,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,40,40,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,145,145,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,115,115,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,35,35,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RPG,OXLEAS NHS FOUNDATION TRUST,85,85,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,170,170,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,50,50,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",505,505,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,30,30,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RT2,PENNINE CARE NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST,35,35,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,60,60,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RTV,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,80,80,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,260,260,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RV9,HUMBER TEACHING NHS FOUNDATION TRUST,45,45,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,200,200,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST,95,95,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RW4,MERSEY CARE NHS FOUNDATION TRUST,190,190,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RWK,EAST LONDON NHS FOUNDATION TRUST,150,150,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,135,135,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RWV,DEVON PARTNERSHIP NHS TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,35,35,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,40,40,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",170,170,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",185,185,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,160,160,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,25,25,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,85,85,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,405,405,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,25,25,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,120,120,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,45,45,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,40,40,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,TAF,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,195,195,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,TAH,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,110,110,NULL
2021/22,People subject to Community Treatment Orders (CTOs) on 31st March,All,All,All,NHS TRUST,MHSDS,TAJ,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,*,*,NULL
2021/22,People subject to repeat detentions,1,Age,15 and under,All submissions,MHSDS,All prov,All providers,582,582,NULL
2021/22,People subject to repeat detentions,1,Age,16 to 17,All submissions,MHSDS,All prov,All providers,949,949,NULL
2021/22,People subject to repeat detentions,1,Age,18 to 34,All submissions,MHSDS,All prov,All providers,16195,16195,NULL
2021/22,People subject to repeat detentions,1,Age,35 to 49,All submissions,MHSDS,All prov,All providers,11585,11585,NULL
2021/22,People subject to repeat detentions,1,Age,50 to 64,All submissions,MHSDS,All prov,All providers,8814,8814,NULL
2021/22,People subject to repeat detentions,1,Age,65 and over,All submissions,MHSDS,All prov,All providers,7939,7939,NULL
2021/22,People subject to repeat detentions,1,Age,All,All submissions,Both,All prov,All providers,0,0,NULL
2021/22,People subject to repeat detentions,1,All,All,All submissions,MHSDS,All prov,All providers,46126,46126,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,African,All submissions,MHSDS,All prov,All providers,2016,2016,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,All,All submissions,Both,All prov,All providers,0,0,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Any Other Asian Background,All submissions,MHSDS,All prov,All providers,1113,1113,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Any Other Black Background,All submissions,MHSDS,All prov,All providers,1360,1360,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Any Other Mixed Background,All submissions,MHSDS,All prov,All providers,732,732,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Any Other White Background,All submissions,MHSDS,All prov,All providers,2913,2913,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Any other ethnic group,All submissions,MHSDS,All prov,All providers,1571,1571,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Asian or Asian British,All submissions,MHSDS,All prov,All providers,3456,3456,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Bangladeshi,All submissions,MHSDS,All prov,All providers,448,448,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Black or Black British,All submissions,MHSDS,All prov,All providers,4640,4640,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,British,All submissions,MHSDS,All prov,All providers,23510,23510,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Caribbean,All submissions,MHSDS,All prov,All providers,1264,1264,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Chinese,All submissions,MHSDS,All prov,All providers,197,197,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Indian,All submissions,MHSDS,All prov,All providers,841,841,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Irish,All submissions,MHSDS,All prov,All providers,332,332,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Mixed,All submissions,MHSDS,All prov,All providers,1591,1591,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Not Known,All submissions,MHSDS,All prov,All providers,3557,3557,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Not Stated,All submissions,MHSDS,All prov,All providers,3144,3144,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Other Ethnic Groups,All submissions,MHSDS,All prov,All providers,8469,8469,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Pakistani,All submissions,MHSDS,All prov,All providers,1054,1054,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,Unknown,All submissions,MHSDS,All prov,All providers,1215,1215,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,White,All submissions,MHSDS,All prov,All providers,26755,26755,NULL
2021/22,People subject to repeat detentions,1,Ethnicity,White and Asian,All submissions,MHSDS,All prov,All providers,195,195,NULL
